,All_values,Return_binary
0,0011010010101,0
1,0101010100101,0
2,0111010101001,1
3,1000110101010,0
4,0011001101010,0
5,0101010011010,1
6,0110110100110,0
7,1001001101001,0
8,0001010011010,1
9,0011010100110,1
10,0100110101001,0
11,0111001101010,0
12,1001010011010,0
13,0001010100110,1
14,0010110101001,1
15,0100101101010,1
16,0110101011010,1
17,1000101010110,0
18,0001001010101,0
19,0011010010101,0
20,0101010100101,1
21,0110110101001,1
22,1000101101010,0
23,0001001011010,1
24,0010110010110,1
25,0100101100101,1
26,0110101011001,0
27,1001001010110,0
28,0010110010101,0
29,0101001100101,1
30,0110110011001,1
31,1000101100110,0
32,0001001011001,0
33,0011010010110,0
34,0101010100101,0
35,0111010101001,1
36,1001010101010,0
37,0001010101010,0
38,0011010101010,1
39,0100110101010,1
40,0110101101010,0
41,1001001011010,1
42,0000110010110,0
43,0011001100101,1
44,0100110011001,1
45,0110101100110,1
46,1001001011001,1
47,0000110010110,1
48,0010101100101,1
49,0101001011001,1
50,0110110010110,0
51,1001001100101,0
52,0001010011001,1
53,0011010100110,0
54,0101010101001,1
55,0110110101010,0
56,1001001101010,1
57,0000110011010,0
58,0011001100110,0
59,0101010011001,0
60,0111010100110,1
61,1000110101001,0
62,0001001101010,0
63,0011010011010,0
64,0101010100110,0
65,0111010101001,1
66,0000110101010,0
67,0011001101010,1
68,0101010011010,1
69,0110110100110,0
70,1001001101001,0
71,0001010011010,1
72,0010110100110,1
73,0100101101001,1
74,0110101011010,1
75,1000101010110,0
76,0001001010101,1
77,0010110010101,1
78,0100101100101,1
79,0110101011001,1
80,1001001010110,1
81,0000110010101,0
82,0011001100101,1
83,0100110011001,0
84,0111001100110,0
85,1001010011001,0
86,0001010100110,1
87,0010110101001,0
88,0101001101010,0
89,0111010011010,1
90,1001010100110,1
91,0001010101001,0
92,0011010101010,0
93,0101010101010,0
94,0111010101010,1
95,1001010101010,1
96,0010110101010,0
97,0101001101010,1
98,0110110011010,0
99,1000101100110,0
100,0001001011001,0
101,0011010010110,1
102,0100110100101,1
103,0110101101001,1
104,1000101011010,1
105,0000101010110,0
106,0011001010101,0
107,0101010010101,1
108,0110110100101,1
109,1000101101001,0
110,0001001011010,1
111,0010110010110,1
112,0100101100101,1
113,0110101011001,1
114,1000101010110,1
115,0000101010101,0
116,0011001010101,0
117,0101010010101,0
118,0111010100101,1
119,1000110101001,1
120,0000101101010,1
121,0100101011010,1
122,0110101010110,1
123,1000101010101,0
124,0001001010101,1
125,0010110010101,0
126,0101001100101,0
127,0111010011001,0
128,1001010100110,0
129,0001010101001,1
130,0010110101010,1
131,0100101101010,1
132,0110101011010,0
133,1001001010110,0
134,0001010010101,1
135,0011010100101,1
136,0100110101001,1
137,0111001101010,0
138,1001010011010,1
139,0000110100110,0
140,0011001101001,0
141,0101010011010,1
142,0110110100110,1
143,1000101101001,0
144,0001001011010,0
145,0011010010110,0
146,0101010100101,0
147,0111010101001,0
148,1000110101010,0
149,0001001101010,1
150,0011010011010,1
151,0100110100110,1
152,0110101101001,0
153,1001001011010,0
154,0001010010110,0
155,0011010100101,1
156,0100110101001,0
157,0111001101010,0
158,1001010011010,0
159,0001010100110,1
160,0010110101001,1
161,0101001101010,1
162,0110110011010,0
163,1001001100110,0
164,0011010011001,1
165,0101010100110,0
166,0111010101001,1
167,1000110101010,1
168,0001001101010,0
169,0011010011010,1
170,0100110100110,1
171,0111001101001,1
172,1000110011010,0
173,0001001100110,0
174,0011010011001,1
175,0100110100110,1
176,0111001101001,0
177,1001010011010,1
178,0001010100110,1
179,0010110101001,1
180,0100101101010,0
181,0111001011010,0
182,1001010010110,1
183,0001010100101,1
184,0010110101001,1
185,0100101101010,0
186,0111001011010,1
187,1000110010110,0
188,0001001100101,0
189,0011010011001,1
190,0100110100110,0
191,0110101101001,1
192,1001001011010,0
193,0001010010110,0
194,0011010100101,0
195,0101010101001,1
196,0110110101010,1
197,1000101101010,1
198,0000101011010,1
199,0010101010110,1
200,0100101010101,0
201,0111001010101,1
202,1001010010101,0
203,0000110100101,1
204,0010101101001,0
205,0101001011010,0
206,0111010010110,0
207,1001010100101,0
208,0001010101001,1
209,0010110101010,1
210,0100101101010,0
211,0111001011010,0
212,1001010010110,1
213,0001010100101,1
214,0010110101001,0
215,0101001101010,1
216,0110110011010,1
217,1000101100110,0
218,0001001011001,1
219,0011010010110,1
220,0100110100101,1
221,1000101101001,0
222,0000101011010,0
223,0011001010110,0
224,0101010010101,0
225,0111010100101,0
226,1001010101001,0
227,0001010101010,1
228,0010110101010,0
229,0101001101010,1
230,0110110011010,0
231,1001001100110,1
232,0000110011001,1
233,0010101100110,0
234,0101001011001,0
235,0111010010110,0
236,1001010100101,0
237,0001010101001,0
238,0011010101010,1
239,0100110101010,0
240,0111001101010,0
241,1001010011010,0
242,0010110100110,1
243,0101001101001,1
244,0110110011010,0
245,1001001100110,0
246,0101010011001,1
247,0110110100110,1
248,1000101101001,0
249,0001001011010,0
250,0010110010110,0
251,0101001100101,1
252,0111010011001,1
253,1000110100110,0
254,0011001101001,1
255,0100110011010,0
256,0111001100110,0
257,1001010011001,1
258,0000110100110,0
259,0011001101001,0
260,0101010011010,1
261,0111010100110,1
262,1001010101001,0
263,0001010101010,1
264,0010110101010,0
265,0101001101010,1
266,0110110011010,1
267,1000101100110,0
268,0000101011001,1
269,0010101010110,0
270,0100101010101,0
271,0111001010101,1
272,1000110010101,0
273,0001001100101,1
274,0010110011001,1
275,0100101100110,0
276,0111001011001,0
277,1001010010110,0
278,0011010100101,0
279,0101010101001,0
280,0111010101010,0
281,1001010101010,0
282,0001010101010,0
283,0011010101010,0
284,0101010101010,1
285,0110110101010,0
286,1000101101010,0
287,0001001011010,0
288,0011010010110,1
289,0101010100101,0
290,0111010101001,0
291,1001010101010,0
292,0001010101010,1
293,0010110101010,0
294,0101001101010,0
295,0111010011010,1
296,1000110100110,0
297,0000101101001,1
298,0010101011010,1
299,0100101010110,1
300,0110101010101,0
301,1001001010101,0
302,0001010010101,0
303,0011010100101,0
304,0101010101001,0
305,0110110101010,0
306,1001001101010,0
307,0001010011010,0
308,0011010100110,1
309,0100110101001,0
310,0111001101010,1
311,0000110011010,1
